Matrix_size(M*N) strategy time
20000 0 0.0632914
60000 0 0.274137
54464 0 0.968418
3392 0 2.38132
37856 0 3.79458
26784 0 6.36909
35712 0 10.2353
64640 0 14.7555
20000 1 0.0249488
60000 1 0.118367
54464 1 0.299182
3392 1 0.664283
37856 1 1.30041
26784 1 2.2259
35712 1 3.59451
64640 1 5.32485
20000 2 0.0862802
60000 2 0.202447
54464 2 0.472915
3392 2 1.0755
37856 2 1.97734
26784 2 3.5457
35712 2 5.04362
64640 2 5.99619
20000 3 8.91116
60000 3 20.1477
54464 3 35.8613
3392 3 56.161
37856 3 81.1436
26784 3 110.581
35712 3 145.624
64640 3 183.788
20000 12 0.0259934
60000 12 0.0853531
54464 12 0.203534
3392 12 0.466127
37856 12 0.958404
26784 12 1.52647
35712 12 2.37413
64640 12 3.67555
20000 123 0.0347102
60000 123 0.129689
54464 123 0.249996
3392 123 0.533027
37856 123 0.995853
26784 123 1.61807
35712 123 2.58945
64640 123 3.82067
20000 23 0.0901277
60000 23 0.184075
54464 23 0.430063
3392 23 0.823324
37856 23 1.491
26784 23 2.52311
35712 23 4.04182
64640 23 5.95347
20000 13 0.0375419
60000 13 0.110366
54464 13 0.255607
3392 13 0.563773
37856 13 1.01815
26784 13 1.65947
35712 13 2.61925
64640 13 3.93561
